file_path,extension,role,size_bytes,line_count,complexity,sha256,is_suspicious,git_tracked_status
functions/.env,,Cloud Functions (Firebase),245,3,Low,e5aee4baa218a1b3552a966a4a73c51da1c917383d5388ef4e0b8cda1701c7eb,No,Tracked/Audited
functions/back4app_cloud_code_manus.js,.js,Cloud Functions (Firebase),28092,824,High (>500 lines),f845481ae7830887d2e7047590c79955b9c27f0f03998cfec5d3116d32c6d4a5,No,Tracked/Audited
functions/catalog_cloud_code.js,.js,Cloud Functions (Firebase),44229,1198,High (>500 lines),fcf286f31cc86e9127f8dbbccd39821f0c52bcc7b10674ad430a86f57a6a39d4,No,Tracked/Audited
functions/index.js,.js,Cloud Functions (Firebase),21355,596,High (>500 lines),4aa60ae6edb756277f616067ab4ba110c1ad305a540280ad57cf5454ccda56f7,No,Tracked/Audited
functions/main.js,.js,Cloud Functions (Firebase),107561,2951,High (>500 lines),8e1c881c39e179c7da44d82506aa41d49011d2506c089ec743e5a0923c74ffdc,No,Tracked/Audited
functions/make_admin.js,.js,Cloud Functions (Firebase),1169,40,Low,bf0651ca39b77ddfb0b70786273f37f27022c159e75fb7377208000e37ab76bf,No,Tracked/Audited
functions/package-lock.json,.json,Cloud Functions (Firebase),117404,3051,High (>500 lines),6f5386d3049af94f7ce0eb19044a6b00030ee78a4a713e91ee2f08bd05130c29,No,Tracked/Audited
functions/package.json,.json,Cloud Functions (Firebase),349,16,Low,084ab13efd6f58f6f35bbefb2ee840ef16f5405bba7f0692942b35b469ab4551,No,Tracked/Audited
functions/test_live_concurrent_gateway.js,.js,Cloud Functions (Firebase),6151,158,Low,4001e7b7143646d3c3212a630ec27a74eb9c7a22be33cdc1fecd5b32ba80f134,No,Tracked/Audited
functions/test_manus_gateway.js,.js,Cloud Functions (Firebase),12994,374,Medium (>200 lines),cf0704fa960b0c2ddaa5b6282b3ab30b7a090c65ce5fef5685e46df0a4473551,No,Tracked/Audited
integration_test/ai_orchestrator_integration_test.dart,.dart,Test Code,1162,30,Low,9cbe00af7e3e23b1b32cfd463cf104b5abaa799ca303a6e2d72bdf0577395b53,No,Tracked/Audited
integration_test/app_test.dart,.dart,Test Code,2047,54,Low,1b384eb5abb7017369dd8b9bf18e81ebf1cbec710ea71eed8892f392653d0922,No,Tracked/Audited
integration_test/manus_live_verification_test.dart,.dart,Test Code,6118,137,Low,e063c68b5b97ddc355614ef866f1df8dd0a7c79139dfa65df2ee791257645e39,No,Tracked/Audited
integration_test/wave1a_live_verification_test.dart,.dart,Test Code,6438,159,Low,0943360d2f0fb29f7a9f72574442d19ae58262e1ea46c3c930bdb969e1d41eca,No,Tracked/Audited
ios/.gitignore,,Platform Native Code/Config,603,34,Low,e85b4db8ba6ed14708e5f7d3c60336e5a3067ce11329b84aa8ba5d98603ee253,No,Tracked/Audited
lib/config.dart,.dart,Source Code (Flutter/Dart),766,15,Low,18573bdcad07a120d772e03aa820fca658a37250ca7bedafc29bfb7abaf6587d,No,Tracked/Audited
